test	gender_pair	source	target	baseline	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q
EH2_044	SF3_TF1	3:MOS	3:MOS	1:MOS	2:MOS	3:MOS	1:MOS	2:MOS	1:MOS	2:MOS	2:MOS	2:MOS	1:MOS	2:MOS	2:MOS	3:MOS	2:MOS	3:MOS	3:MOS	3:MOS	3:MOS
EH2_009	SF3_TF1	5:MOS	4:MOS	1:MOS	2:MOS	3:MOS	1:MOS	2:MOS	4:MOS	4:MOS	5:MOS	3:MOS	2:MOS	4:MOS	1:MOS	4:MOS	5:MOS	5:MOS	3:MOS	4:MOS	2:MOS
EH2_043	SF3_TF1	5:MOS	5:MOS	1:MOS	2:MOS	4:MOS	1:MOS	2:MOS	2:MOS	3:MOS	2:MOS	3:MOS	1:MOS	3:MOS	1:MOS	1:MOS	2:MOS	3:MOS	4:MOS	2:MOS	2:MOS
EH2_085	SF3_TF1	5:MOS	4:MOS	3:MOS	3:MOS	4:MOS	2:MOS	4:MOS	4:MOS	3:MOS	4:MOS	4:MOS	3:MOS	3:MOS	5:MOS	3:MOS	2:MOS	5:MOS	2:MOS	4:MOS	4:MOS
EH2_099	SF3_TF1	5:MOS	5:MOS	1:MOS	2:MOS	5:MOS	1:MOS	2:MOS	5:MOS	2:MOS	5:MOS	4:MOS	1:MOS	2:MOS	2:MOS	5:MOS	5:MOS	5:MOS	5:MOS	5:MOS	2:MOS
EH2_046	SF3_TF1	4:MOS	5:MOS	2:MOS	2:MOS	3:MOS	1:MOS	1:MOS	2:MOS	2:MOS	1:MOS	1:MOS	1:MOS	2:MOS	2:MOS	2:MOS	2:MOS	2:MOS	3:MOS	3:MOS	3:MOS
EH2_078	SF3_TF1	5:MOS	5:MOS	1:MOS	2:MOS	3:MOS	1:MOS	4:MOS	2:MOS	5:MOS	2:MOS	2:MOS	1:MOS	4:MOS	2:MOS	2:MOS	3:MOS	5:MOS	2:MOS	2:MOS	2:MOS
EH2_034	SF3_TF1	5:MOS	5:MOS	2:MOS	5:MOS	4:MOS	1:MOS	2:MOS	2:MOS	3:MOS	2:MOS	3:MOS	2:MOS	3:MOS	3:MOS	4:MOS	2:MOS	4:MOS	5:MOS	4:MOS	2:MOS
EH2_093	SF3_TF1	3:MOS	4:MOS	1:MOS	2:MOS	3:MOS	1:MOS	3:MOS	2:MOS	2:MOS	2:MOS	3:MOS	1:MOS	3:MOS	3:MOS	2:MOS	1:MOS	3:MOS	3:MOS	3:MOS	3:MOS
EH2_008	SF3_TF1	5:MOS	5:MOS	1:MOS	5:MOS	3:MOS	1:MOS	4:MOS	2:MOS	2:MOS	5:MOS	1:MOS	1:MOS	2:MOS	5:MOS	2:MOS	4:MOS	5:MOS	1:MOS	3:MOS	2:MOS
